obs_ID,study_ID,es,var
obs288,456,-0.753108343,0.3333333
obs289,456,1.072789109,0.3333333
obs290,1041,-0.954757067,0.3333333
obs291,1041,-1.137521547,0.3333333
obs292,243,-0.190143915,0.005263158
obs293,272,-0.613710392,0.02941176
obs294,272,-0.399285199,0.02941176
obs295,117,-0.750031284,0.04347826
obs296,459,-0.63330705,0.2
obs297,342,-1.159951441,0.08333333
obs298,342,-1.128044329,0.06666667
obs299,342,-1.111148762,0.125
obs300,342,-0.319031922,0.1428571
obs301,342,-0.439725909,0.1111111
obs302,244,-0.39463567,0.01818182
obs303,244,0.281643831,0.01923077
obs304,244,-0.479949969,0.02941176
obs305,244,-0.337280674,0.01886792
obs306,244,-0.666561741,0.01724138
obs307,244,-0.491326749,0.01785714
obs308,244,-0.730008618,0.01923077
obs309,244,-0.47198727,0.01886792
obs310,244,-0.613772353,0.025
obs311,244,-0.15534143,0.02040816
obs312,244,-0.613529071,0.02380952
obs313,244,-0.790505895,0.02272727
obs314,244,-1.213713657,0.06666667
obs315,244,-1.496062239,0.05882353
obs316,244,-0.935402056,0.02380952
obs317,244,-0.675755228,0.03571429
obs318,485,0.519990554,0.5
obs319,485,2.271924391,1
obs320,485,1.51417988,1
obs321,504,-0.487592568,0.058823529
obs322,504,-0.627712654,0.0625
obs323,504,-0.627283548,0.142857143
obs324,504,-0.685237126,0.023809524
obs325,504,0.625081281,0.052631579
obs326,504,-0.453233346,0.024390244
obs327,3,-1.817940292,0.022727273
obs328,3,-1.044888815,0.022727273
obs329,799,0.016654017,0.083333333
obs330,805,-0.316735521,0.066666667
obs331,805,-0.327709625,0.006622517
obs332,808,0.4783664,0.083333333
obs333,811,0.079021257,0.041666667
obs334,814,-0.35624435,0.0625
obs335,814,-0.255324722,0.0625
obs336,814,-0.767012944,0.0625
obs337,816,-0.614133432,0.090909091
obs338,916,-1.266085774,0.066666667
obs339,916,-0.670003225,0.066666667
obs340,917,0.451724685,0.043478261
obs341,927,-1.224848381,0.125
obs342,945,-0.740749722,0.076923077
obs343,949,-0.933178561,0.04
obs344,950,-0.740639888,0.001526718
obs345,950,-1.009637902,0.00257732
obs346,960,-0.549306144,0.045454545
obs347,9,-0.275220838,0.04
obs348,1056,-2.955480691,0.333333333
obs349,1056,-1.424244635,0.090909091
obs350,429,-0.528128311,0.033333333
obs351,1069,-0.92998494,0.125
obs352,1069,-0.962992061,0.125
obs353,438,-0.874926495,0.5
obs354,438,0.139216794,0.333333333
obs355,438,-0.044526909,0.333333333
obs356,438,-0.304142138,0.333333333
obs357,438,0.012331927,0.166666667
obs358,438,-0.14697192,0.125
obs359,438,0.041203029,0.25
obs360,438,0.262026717,0.333333333
obs361,1081,0.581620766,0.05263158
obs362,691,-0.775665967,0.03846154
obs363,700,-0.666470666,0.1666667
obs364,700,0.029991284,0.1666667
obs365,1120,-0.570585184,0.1
obs366,1120,0.57576575,0.1428571
obs367,1120,0.059222373,0.25
obs368,1120,-0.483012651,0.25
obs369,1120,-0.227144996,0.125
obs370,1120,-0.086426864,0.2
obs371,1120,-0.188795994,0.1
obs372,1120,0.253990385,0.1428571
obs373,1118,-0.940766596,0.03030303
obs374,150,0.501233802,0.1
obs375,1119,-0.349367546,0.04761905
obs376,262,-1.673003237,0.08333333
obs377,274,-0.665190846,0.01581732
obs378,274,-0.631532313,0.0141266
obs379,1125,0.458889859,0.1666667
obs380,604,0.174021894,0.03225806
obs381,451,-0.255491564,0.01449275
obs382,451,-0.472823761,0.09090909
obs383,254,-1.796146226,0.07142857
obs384,254,-1.905697003,0.07142857
